"InteractionType","InteractionName","term","value","L1"
"Mutualism","Pollination","pollinat","Pollination","54718"
"Mutualism","Pollination","pollinat","Pollination","54778"
"Mutualism","Pollination","pollinat","Pollination","54821"
"Mutualism","Pollination","pollinat","Pollination","54837"
"Mutualism","Pollination","pollinat","Pollination","54893"
"Mutualism","Pollination","pollinat","Pollination","54918"
"Mutualism","Pollination","pollinat","Pollination","55001"
"Mutualism","Pollination","pollinat","Pollination","55048"
"Antagonistic","Predation","prey","Predation","55084"
"Antagonistic","Predation","prey","Predation","55085"
"Mutualism","Pollination","pollinat","Pollination","55092"
"Mutualism","Pollination","pollinat","Pollination","55325"
"Mutualism","Pollination","pollinat","Pollination","55367"
"Mutualism","Pollination","pollinat","Pollination","55423"
"Mutualism","Pollination","pollinat","Pollination","55424"
"Mutualism","Pollination","pollinat","Pollination","55480"
"Antagonistic","Predation","prey","Predation","55533"
"Mutualism","Pollination","pollinat","Pollination","55953"
"Mutualism","Pollination","pollinat","Pollination","55954"
"Mutualism","Pollination","pollinat","Pollination","55955"
"Mutualism","Pollination","pollinat","Pollination","55991"
"Mutualism","Pollination","pollinat","Pollination","55992"
"Mutualism","Pollination","pollinat","Pollination","56016"
"Mutualism","Pollination","pollinat","Pollination","56044"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56059"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56060"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56062"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56063"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56064"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56067"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56068"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56069"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","56070"
"Mutualism","Pollination","pollinat","Pollination","56082"
"Mutualism","Pollination","pollinat","Pollination","56173"
"Mutualism","Pollination","pollinat","Pollination","56174"
"Antagonistic","Predation","prey","Predation","56380"
"Antagonistic","Predation","prey","Predation","56381"
"Antagonistic","Predation","prey","Predation","56383"
"Antagonistic","Predation","prey","Predation","56384"
"Antagonistic","Predation","prey","Predation","56395"
"Antagonistic","Predation","prey","Predation","56396"
"Antagonistic","Predation","prey","Predation","56400"
"Antagonistic","Predation","prey","Predation","56401"
"Antagonistic","Predation","prey","Predation","56408"
"Antagonistic","Predation","prey","Predation","56409"
"Antagonistic","Predation","prey","Predation","56418"
"Antagonistic","Predation","prey","Predation","56421"
"Mutualism","Pollination","pollinat","Pollination","56430"
"Mutualism","Pollination","pollinat","Pollination","56645"
"Mutualism","Pollination","pollinat","Pollination","56646"
"Mutualism","Pollination","pollinat","Pollination","56647"
"Mutualism","Pollination","pollinat","Pollination","56677"
"Antagonistic","Predation","prey","Predation","57108"
"Antagonistic","Predation","prey","Predation","57119"
"Antagonistic","Predation","prey","Predation","57196"
